request = DwdObservationRequest(
    parameter=[DwdObservationDataset.CLIMATE_SUMMARY, DwdObservationDataset.SOLAR],
    resolution=DwdObservationResolution.DAILY,
    start_date="1990-01-01",
    end_date="2020-01-01",
).filter_by_station_id(station_id=[3, 1048])


"STATION","NAME","DATE","PRCP","SNWD","TMAX","TMIN"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-20","0.01",,"71","60"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-21","0.00",,"76","58"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-22","0.00",,"80","53"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-23","0.00",,"78","53"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-24","0.19",,"74","49"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-25","0.00",,"80","60"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-26","0.00",,"78","57"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-27","0.66",,"90","58"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-28","0.18",,"83","63"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-29","0.00",,"75","59"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-30","0.00",,"78","59"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-01","0.02",,"86","58"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-02","0.05",,"80","62"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-03","0.00",,"77","58"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-04","0.00",,"83","55"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-05","0.00",,"83","66"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-06","0.00",,"74","56"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-07","0.02",,"72","56"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-08","0.08",,"64","52"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-09","0.00",,"79","52"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-10","0.00",,"86","59"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-11","0.00",,"70","49"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-12","0.00",,"72","46"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-13","0.00",,"78","46"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-14","0.00",,"83","56"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-15","0.57",,"69","54"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-16","0.63",,"72","55"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-17","0.02",,"70","50"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-18","0.00",,"80","53"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-19","0.01",,"87","60"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-20","0.00",,"85","60"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-21","0.00",,"76","55"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-22","0.00",,"76","51"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-23","0.00",,"76","54"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-24","0.00",,"84","54"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-25","0.00",,"81","55"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-26","0.12",,"79","59"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-27","0.00",,"84","56"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-28","0.00",,"88","63"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-29","0.00",,"80","56"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-30","0.00",,"83","50"
"GME00121366","DRESDEN STREHLEN, GM","2020-07-31","0.00",,"84","53"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-01","0.00",,"91","56"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-02","0.43",,"87","65"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-03","0.00",,"67","58"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-04","0.00",,"70","54"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-05","0.00",,"80","51"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-06","0.00",,"86","52"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-07","0.00",,"91","59"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-08","0.00",,"95","64"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-09","0.00",,"96","64"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-10","0.04",,"74","67"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-11","0.00",,"91","64"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-12","0.00",,"91","60"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-13","0.00",,"94","67"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-14","0.44",,"87","67"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-15","0.00",,"82","66"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-16","0.00",,"87","63"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-17","0.28",,"89","62"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-18","0.10",,"79","62"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-19","0.00",,"80","58"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-20","0.00",,"87","59"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-21","0.01",,"96","67"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-22","0.38",,"78","64"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-23","0.00",,"78","60"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-24","0.00",,"75","54"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-25","0.00",,"76","53"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-26","0.00",,"78","66"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-27","0.00",,"70","53"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-28","0.13",,"82","52"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-29","0.01",,"75","61"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-30","2.09",,"65","57"
"GME00121366","DRESDEN STREHLEN, GM","2020-08-31","0.02",,"69","54"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-01","0.00",,"63","50"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-02","0.00",,"69","45"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-03","0.03",,"74","51"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-04","0.00",,"80","61"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-05","0.04",,"74","54"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-06","0.00",,"67","48"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-07","0.00",,"70","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-08","0.00",,"78","48"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-09","0.06",,"83","51"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-10","0.00",,"70","48"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-11","0.00",,"76","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-12","0.00",,"81","53"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-13","0.00",,"80","52"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-14","0.00",,"87","57"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-15","0.00",,"87","56"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-16","0.00",,"85","62"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-17","0.00",,"68","48"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-18","0.00",,"71","39"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-19","0.00",,"73","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-20","0.00",,"76","41"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-21","0.00",,"78","45"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-22","0.00",,"81","51"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-23","0.20",,"80","59"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-24","0.09",,"75","54"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-25","0.62",,"62","50"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-26","0.96",,"50","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-27","0.00",,"59","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-28","0.05",,"63","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-29","0.02",,"63","43"
"GME00121366","DRESDEN STREHLEN, GM","2020-09-30","0.00",,"66","39"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-01","0.00","0.0","67","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-02","0.00","0.0","69","45"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-03","0.03","0.0","75","56"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-04","0.00","0.0","70","44"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-05","0.20","0.0","58","44"
